"Air Quality Statistics by County, 2010",,,,,,,,,,,,,
State/County ,,2010 Population,CO          8-hr   (ppm),Pb      RQmax (µg/m3),NO2          AM   (ppb),NO2  1-hr (ppb),O3           8-hr   (ppb),PM10           24-hr (µg/m3),PM2.5     Wtd AM  (µg/m3),PM2.5        24-hr  (µg/m3),SO2       AM   (ppb),SO2             24-hr  (ppb),SO2     1-hr (ppb)
Alabama,Baldwin County,182265,ND,ND,ND,ND,0.074,ND,10.2,20,ND,ND,ND
Alabama,Clay County,13932,ND,ND,ND,ND,ND,ND,10.5,22,ND,ND,ND
Alabama,Colbert County,54428,ND,ND,ND,ND,0.068,ND,10.5,19,ND,ND,ND
Alabama,DeKalb County,71109,ND,ND,ND,ND,ND,ND,IN,IN,ND,ND,ND
Alabama,Elmore County,79303,ND,ND,ND,ND,0.073,ND,ND,ND,ND,ND,ND
Alabama,Escambia County,38319,ND,ND,ND,ND,ND,ND,IN,IN,ND,ND,ND
Alabama,Etowah County,104430,ND,ND,ND,ND,0.065,ND,11.8,24,ND,ND,ND
Alabama,Houston County,101547,ND,ND,ND,ND,0.067,ND,IN,IN,ND,ND,ND
Alabama,Jefferson County,658466,2,ND,ND,ND,0.077,128,13.8,29,1.697,6.8,33
Alabama,Madison County,334811,ND,ND,ND,ND,0.071,37,11.6,20,ND,ND,ND
Alabama,Mobile County,412992,ND,ND,ND,ND,0.077,72,9.8,18,ND,ND,ND
Alabama,Montgomery County,229363,ND,ND,ND,ND,0.072,61,10.8,21,ND,ND,ND
Alabama,Morgan County,119490,ND,ND,ND,ND,0.07,ND,11.2,19,ND,ND,ND
Alabama,Pike County,32899,ND,0.89,ND,ND,ND,ND,ND,ND,ND,ND,ND
Alabama,Russell County,52947,ND,ND,ND,ND,0.069,ND,13.1,26,ND,ND,ND
Alabama,Shelby County,195085,ND,ND,ND,ND,0.074,ND,IN,IN,ND,ND,ND
Alabama,Sumter County,13763,ND,ND,ND,ND,0.067,ND,IN,IN,ND,ND,ND
Alabama,Talladega County,82291,ND,ND,ND,ND,ND,ND,11.7,21,ND,ND,ND
Alabama,Tuscaloosa County,194656,ND,ND,ND,ND,0.06,ND,11,22,ND,ND,ND
Alabama,Walker County,67023,ND,ND,ND,ND,ND,ND,11.3,19,ND,ND,ND
Alaska,Anchorage Municipality,291826,6,ND,ND,ND,0.045,98,5.5,20,ND,ND,ND
Alaska,Denali Borough,1826,ND,ND,ND,ND,0.052,ND,IN,IN,ND,ND,ND
Alaska,Fairbanks North Star Borough,97581,IN,ND,ND,ND,ND,ND,13,52,ND,ND,ND
Alaska,Juneau City and Borough,31275,ND,ND,ND,ND,ND,27,7,19,ND,ND,ND
Alaska,Ketchikan Gateway Borough,13477,ND,ND,ND,ND,ND,ND,IN,IN,ND,ND,ND
Alaska,Matanuska-Susitna Borough,88995,ND,ND,ND,ND,ND,45,IN,38,ND,ND,ND
Alaska,Northwest Arctic Borough,7523,ND,IN,ND,ND,ND,ND,ND,ND,ND,ND,ND
Arizona,Apache County,71518,ND,ND,ND,ND,ND,40,ND,ND,ND,ND,ND
Arizona,Cochise County,131346,ND,ND,ND,ND,0.071,83,6.8,14,ND,ND,ND
Arizona,Coconino County,134421,ND,ND,ND,ND,0.069,106,5.1,10,ND,ND,ND
Arizona,Gila County,53597,ND,ND,ND,ND,0.07,88,IN,IN,9.712,44.1,314
Arizona,La Paz County,20489,ND,ND,ND,ND,0.071,ND,ND,ND,ND,ND,ND
Arizona,Maricopa County,3817117,3,IN,24.524,68,0.079,135,9.2,24,1.742,5.3,10
Arizona,Mohave County,200186,ND,ND,ND,ND,ND,33,IN,IN,ND,ND,ND
Arizona,Navajo County,107449,ND,ND,ND,ND,0.068,33,ND,ND,ND,ND,ND
Arizona,Pima County,980263,1,ND,11.598,46.2,0.069,186,5.2,12,0.532,1.4,10
Arizona,Pinal County,375770,ND,ND,ND,ND,0.073,226,12.4,27,ND,ND,ND
Arizona,Santa Cruz County,47420,ND,ND,ND,ND,ND,177,10.3,32,ND,ND,ND
Arizona,Yavapai County,211033,ND,ND,ND,ND,0.067,31,3.9,7,ND,ND,ND
Arizona,Yuma County,195751,ND,ND,ND,ND,0.076,113,7.4,14,ND,ND,ND
Arkansas,Arkansas County,19019,ND,ND,ND,ND,ND,ND,11.4,23,ND,ND,ND
Arkansas,Ashley County,21853,ND,ND,ND,ND,ND,ND,11.1,20,ND,ND,ND
Arkansas,Craighead County,96443,ND,ND,ND,ND,ND,ND,IN,IN,ND,ND,ND
Arkansas,Crittenden County,50902,ND,ND,10.282,51,0.078,ND,11.8,23,ND,ND,ND
Arkansas,Faulkner County,113237,ND,ND,ND,ND,ND,ND,11,19,ND,ND,ND
Arkansas,Garland County,96024,ND,ND,ND,ND,ND,ND,11,21,ND,ND,ND
Arkansas,Jackson County,17997,ND,ND,ND,ND,ND,ND,11,23,ND,ND,ND
Arkansas,Jefferson County,77435,ND,ND,ND,ND,ND,ND,IN,IN,ND,ND,ND
Arkansas,Marion County,16653,ND,ND,ND,ND,ND,ND,IN,IN,ND,ND,ND
Arkansas,Miller County,43462,ND,ND,ND,ND,ND,ND,IN,IN,ND,ND,ND
Arkansas,Mississippi County,46480,ND,ND,ND,ND,ND,ND,IN,IN,ND,ND,ND
Arkansas,Newton County,8330,ND,ND,ND,ND,0.07,ND,ND,ND,ND,ND,ND
Arkansas,Phillips County,21757,ND,ND,ND,ND,ND,ND,11.5,21,ND,ND,ND
Arkansas,Polk County,20662,ND,ND,ND,ND,0.073,ND,11,22,ND,ND,ND
Arkansas,Pope County,61754,ND,ND,ND,ND,ND,ND,11.3,22,ND,ND,ND
Arkansas,Pulaski County,382748,2,ND,9.982,51,0.073,38,12.6,23,1.698,3.7,9
Arkansas,Sebastian County,125744,ND,ND,ND,ND,ND,ND,IN,IN,ND,ND,ND
Arkansas,Union County,41639,ND,ND,ND,ND,ND,ND,11.6,21,2.022,4.4,26
Arkansas,Van Buren County,17295,ND,ND,ND,ND,0.058,ND,ND,ND,ND,ND,ND
Arkansas,Washington County,203065,ND,ND,ND,ND,0.067,ND,11.1,23,ND,ND,ND
Arkansas,White County,77076,ND,ND,ND,ND,ND,ND,11.6,21,ND,ND,ND
California,Alameda County,1510271,2,ND,15.598,54,0.074,40,7.8,27,0.951,3.4,9.6
California,Amador County,38091,ND,ND,ND,ND,0.075,ND,ND,ND,ND,ND,ND
California,Butte County,220000,2,ND,7.214,32,0.076,32,8,29,ND,ND,ND
California,Calaveras County,45578,ND,ND,ND,ND,0.079,23,IN,IN,ND,ND,ND
California,Colusa County,21419,ND,ND,ND,ND,0.06,48,IN,IN,ND,ND,ND
California,Contra Costa County,1049025,1,ND,8.323,31.6,0.078,45,7.1,27,1.188,5.7,15.3
California,Del Norte County,28610,ND,ND,ND,ND,ND,35,ND,ND,ND,ND,ND
California,El Dorado County,181058,ND,ND,ND,ND,0.081,ND,IN,IN,ND,ND,ND
California,Fresno County,930450,2,ND,12.633,54,0.103,67,14.7,49,0.749,2.9,7
California,Glenn County,28122,ND,ND,ND,ND,0.061,40,ND,ND,ND,ND,ND
California,Humboldt County,134623,1,ND,2.651,19.1,0.045,61,5.6,18,1.303,3,3
California,Imperial County,174528,6,0.02,13.828,56,0.078,89,12.8,32,0.485,3.2,7
California,Inyo County,18546,ND,ND,ND,ND,0.069,2519,7.5,29,ND,ND,ND
California,Kern County,839631,IN,ND,14.425,63,0.1,88,17.6,62,ND,ND,ND
California,Kings County,152982,ND,ND,IN,IN,0.103,120,19.5,49,ND,ND,ND
California,Lake County,64665,ND,ND,ND,ND,0.056,ND,3.1,6,ND,ND,ND
California,Los Angeles County,9818605,4,0.39,26.179,72.5,0.09,71,12.6,32,1.394,4.8,16.2
California,Madera County,150865,ND,ND,7.796,34,0.09,ND,IN,51,ND,ND,ND
California,Marin County,252409,1,ND,11.697,42,0.053,31,IN,IN,ND,ND,ND
California,Mariposa County,18251,ND,ND,ND,ND,0.077,58,ND,ND,ND,ND,ND
California,Mendocino County,87841,ND,ND,ND,ND,0.047,57,7.7,18,ND,ND,ND
California,Merced County,255793,ND,ND,6.843,38,0.09,53,16.3,40,ND,ND,ND
California,Modoc County,9686,ND,ND,ND,ND,ND,ND,IN,IN,ND,ND,ND
California,Mono County,14202,ND,ND,ND,ND,ND,3096,IN,IN,ND,ND,ND
California,Monterey County,415057,1,ND,6.072,31,0.064,51,4.5,10,ND,ND,ND
California,Napa County,136484,1,ND,8.508,34,0.067,34,ND,ND,ND,ND,ND
California,Nevada County,98764,ND,ND,3.524,20.3,0.079,ND,4.7,10,ND,ND,ND
California,Orange County,3010232,2,ND,17.467,56,0.071,53,10.2,25,0.578,2.1,5.5
California,Placer County,348432,ND,ND,9.967,54,0.085,33,6.6,20,ND,ND,ND
California,Plumas County,20007,ND,ND,ND,ND,ND,ND,9.7,36,ND,ND,ND
California,Riverside County,2189641,2,0.01,17.182,53.2,0.099,312,15.2,36,1.28,3.5,10.2
California,Sacramento County,1418788,2,ND,12.494,52,0.096,54,8.7,27,0.462,1.9,1
California,San Benito County,55269,ND,ND,ND,ND,0.071,30,5.7,13,ND,ND,ND
California,San Bernardino County,2035210,4,0.01,23.087,65,0.109,82,13,31,1.229,6.7,11
California,San Diego County,3095313,2,ND,20.975,74,0.081,101,13.3,114,1.765,7.1,18
California,San Francisco County,805235,1,ND,13.382,76.6,0.046,36,10.5,24,ND,ND,ND
California,San Joaquin County,685306,1,ND,13.824,49,0.075,49,IN,44,ND,ND,ND
California,San Luis Obispo County,269637,ND,ND,5.569,36,0.083,133,8.2,22,0.29,1.3,4
California,San Mateo County,718451,2,ND,11.791,45,0.056,ND,8.3,33,ND,ND,ND
California,Santa Barbara County,423895,1,ND,8.593,43,0.075,51,IN,IN,1.16,2.7,5
California,Santa Clara County,1781642,2,ND,14.394,50.7,0.08,37,8.8,29,0.352,1.6,4.1
California,Santa Cruz County,262382,1,ND,1.803,IN,0.054,30,6.5,13,ND,ND,ND
California,Shasta County,177223,ND,ND,ND,ND,0.074,29,4.6,10,ND,ND,ND
California,Siskiyou County,44900,ND,ND,ND,ND,0.059,19,IN,IN,ND,ND,ND
California,Solano County,413344,2,ND,9.299,39,0.07,32,7.7,23,0.566,2.2,6.9
California,Sonoma County,483878,1,ND,8.198,35,0.054,30,7.2,22,ND,ND,ND
California,Stanislaus County,514453,2,ND,10.119,39,0.087,68,12,44,ND,ND,ND
California,Sutter County,94737,ND,ND,7.503,45,0.068,38,5.9,17,ND,ND,ND
California,Tehama County,63463,ND,ND,ND,ND,0.077,38,IN,IN,ND,ND,ND
California,Trinity County,13786,ND,ND,ND,ND,ND,32,ND,ND,ND,ND,ND
California,Tulare County,442179,ND,ND,12.512,56,0.096,71,13.6,36,ND,ND,ND
California,Tuolumne County,55365,ND,ND,ND,ND,0.072,ND,ND,ND,ND,ND,ND
California,Ventura County,823318,ND,ND,10.096,41,0.082,45,8.7,21,ND,ND,ND
California,Yolo County,200849,ND,ND,6.416,IN,0.069,49,IN,IN,ND,ND,ND
Colorado,Adams County,441603,2,ND,16.009,IN,0.063,68,8.6,22,0.992,8.5,37
Colorado,Alamosa County,15445,ND,ND,ND,ND,ND,260,ND,ND,ND,ND,ND
Colorado,Arapahoe County,572003,ND,IN,ND,ND,0.075,ND,6.5,15,ND,ND,ND
Colorado,Archuleta County,12084,ND,ND,ND,ND,ND,200,IN,IN,ND,ND,ND
Colorado,Boulder County,294567,2,ND,ND,ND,0.072,36,7.1,23,ND,ND,ND
Colorado,Delta County,30952,ND,ND,ND,ND,ND,115,IN,IN,ND,ND,ND
Colorado,Denver County,600158,2,0.01,27.704,71,0.069,62,7.8,19,1.644,8.8,32
Colorado,Douglas County,285465,ND,ND,ND,ND,0.079,ND,5.8,13,ND,ND,ND
Colorado,Elbert County,23086,ND,ND,ND,ND,ND,ND,4.3,9,ND,ND,ND
Colorado,El Paso County,622263,2,ND,ND,ND,0.072,38,6.2,12,ND,ND,ND
Colorado,Fremont County,46824,ND,ND,ND,ND,ND,29,ND,ND,ND,ND,ND
Colorado,Garfield County,56389,ND,ND,ND,ND,0.066,55,ND,ND,ND,ND,ND
Colorado,Gunnison County,15324,ND,ND,ND,ND,ND,123,IN,IN,ND,ND,ND
Colorado,Jefferson County,534543,ND,ND,ND,ND,0.076,ND,ND,ND,ND,ND,ND
Colorado,La Plata County,51334,1,ND,6.325,39,0.074,226,4.1,8,ND,ND,ND
Colorado,Larimer County,299630,2,ND,ND,ND,0.077,43,6.5,22,ND,ND,ND
Colorado,Mesa County,146723,1,ND,ND,ND,0.068,131,9,37,ND,ND,ND
Colorado,Montezuma County,25535,ND,ND,ND,ND,0.066,ND,6,13,ND,ND,ND
Colorado,Pitkin County,17148,ND,ND,ND,ND,0.063,45,ND,ND,ND,ND,ND
Colorado,Prowers County,12551,ND,ND,ND,ND,ND,131,ND,ND,ND,ND,ND
Colorado,Pueblo County,159063,ND,ND,ND,ND,ND,55,6.2,14,ND,ND,ND
Colorado,Rio Blanco County,6666,ND,ND,0.963,IN,0.066,ND,IN,IN,ND,ND,ND
Colorado,Routt County,23509,ND,ND,ND,ND,ND,90,IN,IN,ND,ND,ND
Colorado,San Miguel County,7359,ND,ND,ND,ND,ND,133,IN,IN,ND,ND,ND
Colorado,Summit County,27994,ND,ND,ND,ND,ND,52,ND,ND,ND,ND,ND
Colorado,Weld County,252825,2,ND,ND,ND,0.073,43,7.6,20,ND,ND,ND
Connecticut,Fairfield County,916829,2,ND,10.132,50,0.084,40,9.1,26,1.529,10.4,17.8
Connecticut,Hartford County,894014,2,ND,9.609,44,0.076,24,8.5,24,0.996,6,9.9
Connecticut,Litchfield County,189927,1,ND,IN,IN,0.072,IN,6,19,IN,IN,IN
Connecticut,Middlesex County,165676,ND,ND,ND,ND,0.081,ND,ND,ND,ND,ND,ND
Connecticut,New Haven County,862477,2,ND,13.564,57,0.079,55,9.2,26,1.48,11.7,39.5
Connecticut,New London County,274055,ND,ND,ND,ND,0.075,ND,7.8,21,ND,ND,ND
Connecticut,Tolland County,152691,ND,ND,ND,ND,0.079,ND,ND,ND,ND,ND,ND
Delaware,Kent County,162310,ND,ND,ND,ND,0.077,ND,9.7,25,ND,ND,ND
Delaware,New Castle County,538479,1,ND,12.933,50,0.08,ND,10.6,28,2.172,14.2,31.6
Delaware,Sussex County,197145,ND,ND,ND,ND,0.084,ND,9.9,27,ND,ND,ND
District of Columbia,District of Columbia,601723,3,ND,17.595,59,0.086,85,11.1,29,3.372,10.5,21
Florida,Alachua County,247336,ND,ND,ND,ND,0.069,ND,7.8,16,ND,ND,ND
Florida,Baker County,27115,ND,ND,ND,ND,0.065,ND,ND,ND,ND,ND,ND
Florida,Bay County,168852,ND,ND,ND,ND,0.072,ND,IN,IN,ND,ND,ND
Florida,Brevard County,543376,ND,ND,ND,ND,0.064,51,IN,IN,0.175,3.3,7
Florida,Broward County,1748066,2,ND,7.118,49,0.062,32,7,14,0.389,5.9,38
Florida,Citrus County,141236,ND,ND,ND,ND,ND,ND,7.6,16,ND,ND,ND
Florida,Collier County,321520,ND,ND,ND,ND,0.059,ND,ND,ND,ND,ND,ND
Florida,Columbia County,67531,ND,ND,ND,ND,0.068,ND,ND,ND,ND,ND,ND
Florida,Duval County,864263,2,ND,9.324,44,0.068,62,9.4,20,0.948,5,22
Florida,Escambia County,297619,ND,ND,IN,IN,0.074,ND,9.1,18,1.544,12.9,45
Florida,Hamilton County,14799,ND,ND,ND,ND,ND,ND,ND,ND,0.499,3.8,21
Florida,Highlands County,98786,ND,ND,ND,ND,0.066,ND,ND,ND,ND,ND,ND
Florida,Hillsborough County,1229226,1,0.73,6.079,IN,0.072,62,8.1,15,2.852,28.7,104
Florida,Holmes County,19927,ND,ND,ND,ND,0.065,ND,ND,ND,ND,ND,ND
Florida,Lake County,297052,ND,ND,ND,ND,0.066,ND,ND,ND,ND,ND,ND
Florida,Lee County,618754,ND,ND,ND,ND,0.065,67,7,13,ND,ND,ND
Florida,Leon County,275487,ND,ND,ND,ND,0.065,ND,9.7,23,ND,ND,ND
Florida,Manatee County,322833,ND,ND,ND,ND,0.068,ND,IN,IN,ND,ND,ND
Florida,Marion County,331298,ND,ND,ND,ND,0.068,ND,IN,IN,ND,ND,ND
Florida,Martin County,146318,ND,ND,ND,ND,0.059,ND,ND,ND,ND,ND,ND
Florida,Miami-Dade County,2496435,1,ND,9.651,47,0.069,44,7.8,13,0.002,0.1,1
Florida,Nassau County,73314,ND,ND,ND,ND,ND,ND,ND,ND,3.949,58.4,216
Florida,Okaloosa County,180822,ND,ND,ND,ND,0.069,ND,ND,ND,ND,ND,ND
Florida,Orange County,1145956,1,ND,5.627,40,0.071,35,7.5,14,0.157,2.2,7
Florida,Osceola County,268685,ND,ND,ND,ND,0.067,ND,ND,ND,ND,ND,ND
Florida,Palm Beach County,1320134,ND,ND,5.378,46,0.066,35,6.4,12,0.831,3.5,8
Florida,Pasco County,464697,ND,ND,ND,ND,0.067,ND,ND,ND,ND,ND,ND
Florida,Pinellas County,916542,1,ND,5.68,38,0.067,41,8.1,16,0.682,6.3,34
Florida,Polk County,602095,ND,ND,ND,ND,0.068,51,7.7,15,ND,ND,ND
Florida,Putnam County,74364,ND,ND,ND,ND,ND,58,ND,ND,0.678,4.9,33
Florida,St. Lucie County,277789,ND,ND,ND,ND,0.061,ND,7.6,14,ND,ND,ND
Florida,Santa Rosa County,151372,ND,ND,ND,ND,0.074,ND,IN,IN,ND,ND,ND
Florida,Sarasota County,379448,ND,ND,3.986,IN,0.07,59,7.1,14,ND,ND,ND
Florida,Seminole County,422718,ND,ND,ND,ND,0.067,46,7.6,14,ND,ND,ND
Florida,Volusia County,494593,ND,ND,ND,ND,0.066,45,7.5,17,ND,ND,ND
Florida,Wakulla County,30776,ND,ND,ND,ND,0.068,ND,ND,ND,ND,ND,ND
Georgia,Bartow County,100157,ND,0.02,ND,ND,ND,ND,ND,ND,ND,ND,ND
Georgia,Bibb County,155547,ND,ND,ND,ND,0.071,50,13.7,28,1.458,5.9,23
Georgia,Chatham County,265128,ND,ND,ND,ND,0.065,33,10.5,24,3.42,33.2,83
Georgia,Chattooga County,26015,ND,ND,ND,ND,0.067,37,ND,ND,ND,ND,ND
Georgia,Clarke County,116714,ND,ND,ND,ND,0.073,ND,11.3,23,ND,ND,ND
Georgia,Clayton County,259424,ND,ND,ND,ND,ND,ND,13.4,25,ND,ND,ND
Georgia,Cobb County,688078,ND,ND,ND,ND,0.079,ND,12.2,23,ND,ND,ND
Georgia,Columbia County,124053,ND,ND,ND,ND,0.068,ND,ND,ND,ND,ND,ND
Georgia,Coweta County,127317,ND,ND,ND,ND,0.065,ND,ND,ND,ND,ND,ND
Georgia,Dawson County,22330,ND,ND,ND,ND,0.073,ND,ND,ND,ND,ND,ND
Georgia,DeKalb County,691893,2,IN,13.657,58,0.075,51,12.3,24,IN,IN,IN
Georgia,Dougherty County,94565,ND,ND,ND,ND,ND,50,IN,IN,ND,ND,ND
Georgia,Douglas County,132403,ND,ND,ND,ND,0.074,ND,ND,ND,ND,ND,ND
Georgia,Floyd County,96317,ND,ND,ND,ND,ND,47,IN,IN,1.551,10.5,49
Georgia,Fulton County,920581,1,ND,ND,ND,0.08,48,14.5,24,1.908,10,33
Georgia,Glynn County,79626,ND,ND,ND,ND,0.066,37,IN,IN,1.101,2.4,7
Georgia,Gwinnett County,805321,ND,ND,ND,ND,0.072,ND,12.3,22,ND,ND,ND
Georgia,Hall County,179684,ND,ND,ND,ND,ND,ND,11.4,23,ND,ND,ND
Georgia,Henry County,203922,ND,ND,ND,ND,0.078,ND,ND,ND,ND,ND,ND
Georgia,Houston County,139900,ND,ND,ND,ND,ND,ND,12,26,ND,ND,ND
Georgia,Lowndes County,109233,ND,ND,ND,ND,ND,ND,IN,IN,ND,ND,ND
Georgia,Murray County,39628,ND,ND,ND,ND,0.073,ND,ND,ND,ND,ND,ND
Georgia,Muscogee County,189885,ND,0.07,ND,ND,0.068,38,15,30,1.193,3.4,13
Georgia,Paulding County,142324,1,ND,2.638,18,0.071,ND,11.2,21,ND,ND,ND
Georgia,Richmond County,200549,ND,ND,ND,ND,0.072,42,13.4,27,ND,ND,ND
Georgia,Rockdale County,85215,ND,ND,3.999,24,0.076,ND,ND,ND,ND,ND,ND
Georgia,Sumter County,32819,ND,ND,ND,ND,0.069,ND,ND,ND,ND,ND,ND
Georgia,Walker County,68756,ND,ND,ND,ND,ND,ND,8.9,20,ND,ND,ND
Georgia,Washington County,21187,ND,ND,ND,ND,ND,42,IN,IN,ND,ND,ND
Georgia,Wilkinson County,9563,ND,ND,ND,ND,ND,ND,13.7,23,ND,ND,ND
Hawaii,Hawaii County,185079,ND,ND,ND,ND,ND,ND,18.2,35,ND,ND,ND
Hawaii,Honolulu County,953207,1,0,3.411,24,0.047,70,4.7,12,1.272,4,18
Hawaii,Maui County,154834,ND,ND,ND,ND,ND,ND,4.8,14,ND,ND,ND
Idaho,Ada County,392365,2,ND,9.51,45,0.069,55,5,12,0.366,1.1,IN
