region,subregion,population,co.8hr.ppm,pb.rqmax.microg.by.m3,no2.am.ppb,no2.1hr.ppb,o3.8hr.ppb,pm10.24hr.microg.by.m3,pm2.5.wtd.am.microg.by.m3,pm2.5.24hr.microg.by.m3,so2.am.ppb,so2.24hr.ppb,so2.1hr.ppb
indiana,carroll,20155,NA,NA,NA,NA,0.072,NA,NA,NA,NA,NA,NA
indiana,clark,110232,NA,NA,NA,NA,0.077,40,14.7,29,NA,NA,NA
indiana,daviess,31648,NA,NA,NA,NA,NA,NA,NA,NA,4.598,25.8,115
indiana,delaware,117671,NA,0.26,NA,NA,0.067,NA,12.8,32,NA,NA,NA
indiana,dubois,41889,NA,NA,NA,NA,NA,36,13.6,27,NA,NA,NA
indiana,elkhart,197559,NA,NA,NA,NA,0.065,NA,11.9,32,NA,NA,NA
indiana,floyd,74578,NA,NA,NA,NA,0.072,NA,13.1,28,3.636,20.6,122.5
indiana,fountain,17240,NA,NA,NA,NA,NA,NA,NA,NA,2.273,8.5,26
indiana,gibson,33503,NA,NA,NA,NA,NA,NA,12.2,26,3.817,20.7,74
indiana,greene,33165,NA,NA,NA,NA,0.074,NA,NA,NA,NA,NA,NA
indiana,hamilton,274569,NA,NA,NA,NA,0.071,NA,NA,NA,NA,NA,NA
indiana,hancock,70002,NA,NA,NA,NA,0.071,NA,NA,NA,NA,NA,NA
indiana,hendricks,145448,NA,NA,NA,NA,0.067,NA,NA,NA,NA,NA,NA
indiana,henry,49462,NA,NA,NA,NA,NA,NA,IN,IN,NA,NA,NA
indiana,howard,82752,NA,NA,NA,NA,NA,NA,12.5,30,NA,NA,NA
indiana,huntington,37124,NA,NA,NA,NA,0.062,NA,NA,NA,NA,NA,NA
indiana,jackson,42376,NA,NA,NA,NA,0.069,NA,NA,NA,NA,NA,NA
indiana,jasper,33478,NA,NA,NA,NA,NA,NA,NA,NA,1.947,10,39
indiana,johnson,139654,NA,NA,NA,NA,0.07,NA,NA,NA,NA,NA,NA
indiana,knox,38440,NA,NA,NA,NA,NA,NA,12.3,28,NA,NA,NA
indiana,lake,496005,2,0.13,14.671,52.8,0.069,69,13.3,34,2.463,23.5,57.2
indiana,laporte,111467,NA,NA,NA,NA,0.07,NA,10.7,29,2.354,10.6,30
indiana,madison,131636,NA,NA,NA,NA,0.065,NA,IN,IN,NA,NA,NA
indiana,marion,903393,3,0.08,12.683,53.5,0.072,83,14,37,3.347,23.3,103.4
indiana,monroe,137974,NA,NA,NA,NA,NA,NA,IN,IN,NA,NA,NA
indiana,morgan,68894,NA,NA,NA,NA,0.063,NA,NA,NA,2.977,28.8,105
indiana,perry,19338,NA,NA,NA,NA,0.072,NA,NA,NA,NA,NA,NA
indiana,pike,12845,NA,NA,NA,NA,NA,NA,NA,NA,7.501,36.5,IN
indiana,porter,164343,NA,0.02,NA,NA,0.067,66,11.6,29,3.728,16.7,IN
indiana,posey,25910,NA,NA,NA,NA,0.069,NA,NA,NA,NA,NA,NA
indiana,st. joseph,266931,NA,NA,11.124,IN,0.061,NA,11.3,31,NA,NA,NA
indiana,shelby,44436,NA,NA,NA,NA,0.067,NA,NA,NA,NA,NA,NA
indiana,spencer,20952,NA,NA,NA,NA,NA,NA,13,27,NA,NA,NA
indiana,tippecanoe,172780,NA,NA,NA,NA,NA,NA,12.1,27,NA,NA,NA
indiana,vanderburgh,179703,4,0.01,11.142,41.2,0.071,37,13.5,30,1.613,7.2,18.8
indiana,vigo,107848,NA,NA,NA,NA,0.063,44,13,30,4.493,42.7,169
indiana,warrick,59689,NA,NA,NA,NA,0.071,NA,NA,NA,1.907,8.1,18
indiana,wayne,68917,NA,NA,NA,NA,NA,NA,NA,NA,2.817,21.8,108.6
indiana,whitley,33292,NA,NA,NA,NA,NA,IN,IN,IN,NA,NA,NA
iowa,black hawk,131090,NA,NA,NA,NA,NA,74,10.9,37,NA,NA,NA
iowa,bremer,24276,NA,NA,NA,NA,0.063,NA,IN,IN,NA,NA,NA
iowa,cerro gordo,44151,NA,NA,NA,NA,NA,81,IN,IN,NA,NA,NA
iowa,clinton,49116,NA,NA,NA,NA,0.064,NA,12.7,35,1.243,9.4,IN
iowa,delaware,17764,NA,NA,NA,NA,NA,51,IN,IN,NA,NA,NA
iowa,emmet,10302,NA,NA,NA,NA,NA,NA,IN,IN,NA,NA,NA
iowa,harrison,14928,NA,NA,NA,NA,0.067,NA,NA,NA,NA,NA,NA
iowa,johnson,130882,NA,NA,NA,NA,NA,53,11.5,33,NA,NA,NA
iowa,lee,35862,NA,NA,NA,NA,NA,NA,11.9,30,NA,NA,NA
iowa,linn,211226,1,NA,NA,NA,0.064,68,11.1,36,0.984,8.6,28.9
iowa,montgomery,10740,NA,NA,NA,NA,0.067,44,9.9,27,NA,NA,NA
iowa,muscatine,42745,NA,NA,NA,NA,NA,81,13.9,41,IN,IN,IN
iowa,palo alto,9421,NA,NA,NA,NA,0.067,94,8.7,21,NA,NA,NA
iowa,polk,430640,1,NA,8.901,47,0.057,53,10.3,33,0.299,1.2,2.5
iowa,pottawattamie,93158,NA,0.26,NA,NA,NA,72,12.2,32,NA,NA,NA
iowa,scott,165224,1,NA,8.437,37.5,0.065,129,12.9,35,0.518,3.6,IN
iowa,story,89542,NA,NA,NA,NA,0.061,NA,IN,IN,NA,NA,NA
iowa,tama,17767,NA,NA,NA,NA,NA,NA,IN,IN,NA,NA,NA
iowa,van buren,7570,NA,NA,NA,NA,0.068,47,9.8,30,0.189,1.6,5.1
iowa,warren,46225,NA,NA,NA,NA,0.064,NA,NA,NA,NA,NA,NA
iowa,woodbury,102172,NA,NA,NA,NA,NA,48,10.7,34,NA,NA,NA
iowa,wright,13229,NA,NA,NA,NA,NA,NA,IN,IN,NA,NA,NA
kansas,ford,33848,NA,NA,NA,NA,NA,48,NA,NA,NA,NA,NA
kansas,johnson,544179,NA,NA,NA,NA,0.071,NA,IN,IN,NA,NA,NA
kansas,leavenworth,76227,NA,NA,NA,NA,0.07,NA,NA,NA,NA,NA,NA
kansas,linn,9656,NA,NA,1.822,12.1,0.066,NA,9.1,22,1.26,3.3,IN
kansas,montgomery,35471,NA,NA,NA,NA,NA,NA,NA,NA,4.249,21.9,28
kansas,neosho,16512,NA,NA,NA,NA,NA,49,NA,NA,NA,NA,NA
kansas,saline,55606,NA,0.42,NA,NA,NA,NA,NA,NA,NA,NA,NA
kansas,sedgwick,498365,3,NA,8.273,39,0.075,57,8.8,20,NA,NA,NA
kansas,shawnee,177934,NA,NA,NA,NA,0.069,70,9,21,NA,NA,NA
kansas,sherman,6010,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,NA
kansas,sumner,24132,NA,NA,3.656,26,0.075,NA,8.4,19,0.733,1.8,12
kansas,trego,3001,NA,NA,NA,NA,0.071,NA,NA,NA,1.09,2,IN
kansas,wyandotte,157505,2,NA,13.131,54,0.058,65,10.5,23,5.036,13.1,49
kentucky,bell,28691,NA,NA,NA,NA,0.073,NA,12.9,28,NA,NA,NA
kentucky,boone,118811,NA,NA,NA,NA,0.067,NA,NA,NA,NA,NA,NA
kentucky,boyd,49542,NA,IN,8.465,37,0.072,90,11.2,26,2.328,10.2,34
kentucky,bullitt,74319,NA,NA,NA,NA,0.074,NA,13.4,24,NA,NA,NA
kentucky,campbell,90336,NA,NA,4.524,39,0.073,NA,11.8,26,4.026,16.6,99
kentucky,carter,27720,NA,NA,NA,NA,0.071,27,9.9,20,NA,NA,NA
kentucky,christian,73955,NA,NA,NA,NA,0.074,NA,11.2,22,NA,NA,NA
kentucky,daviess,96656,NA,NA,7.06,38,0.072,NA,12.9,28,2.841,11.1,68
kentucky,edmonson,12161,0,NA,NA,NA,0.075,NA,IN,IN,1.274,5.7,15.4
kentucky,fayette,295803,NA,NA,9.463,56,0.071,35,12.2,23,2.214,7.8,40
kentucky,franklin,49285,NA,NA,NA,NA,NA,NA,11.4,23,NA,NA,NA
kentucky,greenup,36910,NA,NA,NA,NA,0.071,NA,NA,NA,2.498,10.9,41
kentucky,hancock,8565,NA,NA,NA,NA,0.073,NA,NA,NA,NA,NA,NA
kentucky,hardin,105543,NA,NA,NA,NA,0.071,NA,11.9,21,NA,NA,NA
kentucky,henderson,46250,NA,NA,NA,NA,0.074,37,12.5,24,2.055,6.8,22
kentucky,jefferson,741096,2,NA,11.953,IN,0.085,74,14.8,29,4.057,15.2,107
kentucky,jessamine,48586,NA,NA,NA,NA,0.069,NA,NA,NA,2.049,11.3,48
kentucky,kenton,159720,NA,NA,NA,NA,0.064,NA,IN,IN,NA,NA,NA
kentucky,laurel,58849,NA,NA,NA,NA,NA,NA,IN,IN,NA,NA,NA
kentucky,livingston,9519,NA,NA,NA,NA,0.067,NA,NA,NA,0.916,4.8,15
kentucky,mccracken,65565,NA,NA,6.875,47,0.073,32,11.4,25,1.478,7.3,25
kentucky,madison,82916,NA,0.05,NA,NA,NA,NA,10.7,21,NA,NA,NA
kentucky,marshall,31448,NA,NA,NA,NA,NA,30,NA,NA,NA,NA,NA
kentucky,ohio,23842,NA,NA,NA,NA,NA,IN,IN,IN,NA,NA,NA
kentucky,oldham,60316,NA,NA,NA,NA,0.078,NA,NA,NA,NA,NA,NA
kentucky,perry,28712,NA,NA,NA,NA,0.071,NA,IN,IN,NA,NA,NA
kentucky,pike,65024,NA,NA,NA,NA,0.07,NA,10.4,24,NA,NA,NA
kentucky,pulaski,63063,NA,NA,NA,NA,0.066,NA,IN,IN,NA,NA,NA
kentucky,russell,17565,NA,IN,NA,NA,NA,NA,NA,NA,NA,NA,NA
kentucky,simpson,17327,NA,NA,NA,NA,0.073,NA,NA,NA,NA,NA,NA
kentucky,trigg,14339,NA,NA,NA,NA,0.07,NA,NA,NA,NA,NA,NA
kentucky,warren,113792,NA,NA,NA,NA,0.068,NA,11.5,21,NA,NA,NA
louisiana,ascension parish,107215,NA,NA,8.27,42,0.078,NA,NA,NA,NA,NA,NA
louisiana,bossier parish,116979,NA,NA,NA,NA,0.079,54,NA,NA,IN,IN,IN
louisiana,caddo parish,254969,NA,NA,NA,NA,0.077,IN,11,19,NA,NA,NA
louisiana,calcasieu parish,192768,NA,NA,6.7,37,0.078,NA,9.6,22,3.361,14.3,34
louisiana,concordia parish,20822,NA,NA,NA,NA,NA,NA,IN,IN,NA,NA,NA
louisiana,east baton rouge parish,440171,2,NA,12.687,56,0.08,78,10.7,20,1.339,11.4,41.5
louisiana,iberville parish,33387,NA,NA,7.095,36,0.074,NA,10.6,22,NA,NA,NA
louisiana,jefferson parish,432552,NA,NA,7.759,47,0.081,NA,9.6,19,NA,NA,NA
louisiana,lafayette parish,221578,NA,NA,NA,NA,0.074,72,9.7,23,NA,NA,NA
louisiana,lafourche parish,96318,NA,NA,NA,NA,0.074,NA,NA,NA,NA,NA,NA
louisiana,livingston parish,128026,NA,NA,2.906,20,0.076,NA,NA,NA,NA,NA,NA
louisiana,orleans parish,343829,NA,NA,NA,NA,0.072,73,IN,IN,NA,NA,NA
louisiana,ouachita parish,153720,NA,NA,NA,NA,0.07,NA,9.5,19,IN,IN,IN
louisiana,plaquemines parish,23042,NA,NA,NA,NA,NA,NA,IN,IN,NA,NA,NA
louisiana,pointe coupee parish,22802,NA,NA,NA,NA,0.075,NA,NA,NA,NA,NA,NA
louisiana,rapides parish,131613,NA,NA,NA,NA,NA,NA,9.2,20,NA,NA,NA
louisiana,st. bernard parish,35897,NA,NA,NA,NA,0.074,72,10.1,18,7.743,75.6,248
louisiana,st. charles parish,52780,NA,NA,NA,NA,0.075,NA,IN,IN,NA,NA,NA
louisiana,st. james parish,22102,NA,NA,NA,NA,0.069,NA,NA,NA,NA,NA,NA
louisiana,st. john the baptist parish,45924,NA,NA,NA,NA,0.073,NA,NA,NA,NA,NA,NA
louisiana,st. tammany parish,233740,NA,NA,NA,NA,0.076,NA,IN,IN,NA,NA,NA
louisiana,tangipahoa parish,121097,NA,NA,NA,NA,NA,NA,9,17,NA,NA,NA
louisiana,terrebonne parish,111860,NA,NA,NA,NA,NA,NA,8.8,17,NA,NA,NA
louisiana,west baton rouge parish,23788,NA,NA,11.305,49,0.071,NA,11.2,21,5.071,19.8,92
maine,androscoggin,107702,NA,NA,NA,NA,0.058,43,IN,IN,NA,NA,NA
maine,aroostook,71870,0,NA,2.034,IN,0.051,79,7.3,23,0.221,2.2,6.9
maine,cumberland,281674,1,NA,9.765,44,0.072,52,8,23,1.564,9.5,21
maine,hancock,54418,0,NA,NA,NA,0.076,25,4.4,16,0.154,1.1,3.1
maine,kennebec,122151,NA,NA,NA,NA,0.059,43,6.4,19,NA,NA,NA
maine,knox,39736,NA,NA,NA,NA,0.07,NA,IN,IN,NA,NA,NA
maine,oxford,57833,NA,NA,NA,NA,0.054,NA,8,30,NA,NA,NA
maine,penobscot,153923,NA,NA,NA,NA,0.059,43,7,23,NA,NA,NA
maine,piscataquis,17535,NA,NA,NA,NA,NA,NA,5.1,15,NA,NA,NA
maine,sagadahoc,35293,NA,NA,NA,NA,0.061,NA,NA,NA,NA,NA,NA
maine,washington,32856,NA,NA,NA,NA,0.061,NA,NA,NA,NA,NA,NA
maine,york,197131,NA,NA,NA,NA,0.072,NA,IN,IN,NA,NA,NA
maryland,anne arundel,537656,NA,NA,NA,NA,0.087,45,11,28,NA,NA,NA
maryland,baltimore,805029,2,NA,13.155,54,0.084,NA,11.6,29,2.152,7.3,20
maryland,calvert,88737,NA,NA,NA,NA,0.087,NA,NA,NA,NA,NA,NA
maryland,carroll,167134,NA,NA,NA,NA,0.083,NA,NA,NA,NA,NA,NA
maryland,cecil,101108,NA,NA,NA,NA,0.082,NA,IN,IN,NA,NA,NA
maryland,charles,146551,NA,NA,NA,NA,0.082,NA,NA,NA,NA,NA,NA
maryland,frederick,233385,NA,NA,NA,NA,0.083,NA,NA,NA,NA,NA,NA
maryland,garrett,30097,0,NA,NA,NA,0.078,NA,IN,IN,2.158,9.7,23.6
maryland,harford,244826,NA,NA,NA,NA,0.096,NA,9.5,22,NA,NA,NA
maryland,kent,20197,NA,NA,NA,NA,0.074,NA,IN,IN,NA,NA,NA
maryland,montgomery,971777,NA,NA,NA,NA,0.077,NA,11.1,28,NA,NA,NA
maryland,prince george's,863420,1,NA,NA,NA,0.085,IN,12.1,27,0.987,6.8,10.2
maryland,washington,147430,NA,NA,NA,NA,0.078,NA,IN,IN,NA,NA,NA
maryland,worcester,51454,NA,NA,NA,NA,0.075,NA,NA,NA,NA,NA,NA
maryland,baltimore city,620961,1,NA,17.549,61,0.074,46,12.7,30,NA,NA,NA
massachusetts,barnstable,215888,NA,NA,NA,NA,0.078,NA,NA,NA,NA,NA,NA
massachusetts,berkshire,131219,NA,NA,NA,NA,0.073,NA,8.9,25,NA,NA,NA
massachusetts,bristol,548285,NA,NA,NA,NA,0.077,NA,7.7,24,3.081,33.1,84.3
massachusetts,dukes,16535,NA,NA,NA,NA,0.08,NA,NA,NA,NA,NA,NA
massachusetts,essex,743159,1,NA,7.303,42.4,0.072,NA,7.9,20,NA,NA,NA
massachusetts,hampden,463490,2,NA,14.545,48,0.074,33,9.2,26,2.05,7.4,13
massachusetts,hampshire,158080,NA,NA,2.673,26,0.076,28,IN,IN,0.844,5.7,5.8
massachusetts,middlesex,1503085,1,NA,NA,NA,0.069,28,7,20,NA,NA,NA
massachusetts,norfolk,670850,NA,NA,IN,IN,0.073,NA,IN,IN,NA,NA,NA
massachusetts,plymouth,494919,NA,NA,NA,NA,NA,NA,7.8,23,NA,NA,NA
massachusetts,suffolk,722023,2,0.01,19.098,53,0.07,41,10,25,2.933,9.4,25
massachusetts,worcester,798552,1,NA,13.987,48.4,0.071,42,8.7,21,2.055,6.8,12
michigan,allegan,111408,NA,NA,NA,NA,0.073,NA,8.5,25,NA,NA,NA
michigan,alpena,29598,NA,NA,NA,NA,NA,NA,IN,IN,NA,NA,NA
michigan,bay,107771,NA,NA,NA,NA,NA,NA,8.2,31,NA,NA,NA
michigan,benzie,17525,NA,NA,NA,NA,0.072,NA,NA,NA,NA,NA,NA
michigan,berrien,156813,NA,NA,NA,NA,0.072,NA,8.7,23,NA,NA,NA
michigan,cass,52293,NA,NA,NA,NA,0.069,NA,NA,NA,NA,NA,NA
michigan,chippewa,38520,NA,NA,NA,NA,0.053,NA,IN,43,NA,NA,NA
michigan,clinton,75382,NA,NA,NA,NA,0.065,NA,NA,NA,NA,NA,NA
michigan,dickinson,26168,NA,NA,NA,NA,NA,NA,IN,IN,NA,NA,NA
michigan,emmet,32694,NA,NA,NA,NA,NA,NA,IN,IN,NA,NA,NA
michigan,genesee,425790,NA,NA,NA,NA,0.07,NA,8.9,25,NA,NA,NA
michigan,grand traverse,86986,NA,NA,NA,NA,NA,NA,IN,IN,NA,NA,NA
michigan,huron,33118,NA,NA,NA,NA,0.069,NA,NA,NA,NA,NA,NA
michigan,ingham,280895,NA,NA,IN,IN,0.065,NA,9,24,NA,NA,NA
michigan,ionia,63905,NA,0.28,NA,NA,NA,NA,NA,NA,NA,NA,NA
michigan,iron,11817,NA,NA,NA,NA,NA,NA,IN,IN,NA,NA,NA
michigan,kalamazoo,250331,NA,NA,NA,NA,0.067,NA,9.3,22,NA,NA,NA
michigan,kent,602622,1,0.01,NA,NA,0.069,37,9.6,24,0.956,4.5,17.8
michigan,lenawee,99892,NA,NA,NA,NA,0.066,NA,8.9,22,NA,NA,NA
michigan,macomb,840978,NA,NA,NA,NA,0.076,NA,8.9,26,NA,NA,NA
michigan,manistee,24733,NA,NA,NA,NA,0.068,NA,6.6,22,NA,NA,NA
michigan,mason,28705,NA,NA,NA,NA,0.07,NA,NA,NA,NA,NA,NA
michigan,missaukee,14849,NA,NA,IN,IN,0.065,NA,5.9,18,NA,NA,NA
michigan,monroe,152021,NA,NA,NA,NA,NA,NA,9.4,26,NA,NA,NA
michigan,muskegon,172188,NA,NA,NA,NA,0.076,NA,8.3,23,NA,NA,NA
michigan,oakland,1202362,NA,NA,NA,NA,0.073,NA,9.1,27,NA,NA,NA
michigan,ottawa,263801,NA,NA,NA,NA,0.072,NA,9.1,23,NA,NA,NA
michigan,saginaw,200169,NA,NA,NA,NA,NA,NA,IN,IN,NA,NA,NA
michigan,st. clair,163040,NA,NA,NA,NA,0.076,NA,8.9,26,NA,NA,NA
michigan,schoolcraft,8485,NA,NA,NA,NA,0.075,NA,NA,NA,NA,NA,NA
michigan,washtenaw,344791,NA,NA,NA,NA,0.066,NA,9.2,23,NA,NA,NA
michigan,wayne,1820584,1,0.01,11.96,54,0.078,73,11.3,30,3.385,48.8,107
minnesota,anoka,330844,NA,0.03,9.368,51,0.067,NA,8.3,25,NA,NA,NA
minnesota,becker,32504,NA,NA,NA,NA,0.062,NA,NA,NA,NA,NA,NA
minnesota,carlton,35386,NA,0,1.802,14,0.057,NA,NA,NA,NA,NA,NA
minnesota,cass,28567,NA,NA,NA,NA,NA,NA,IN,IN,NA,NA,NA
minnesota,crow wing,62500,NA,NA,NA,NA,0.06,NA,IN,IN,NA,NA,NA
minnesota,dakota,398552,2,0.27,9.673,44,NA,NA,IN,IN,0.787,5.3,19
minnesota,douglas,36009,NA,NA,NA,NA,NA,NA,IN,IN,NA,NA,NA
minnesota,freeborn,31255,NA,NA,NA,NA,NA,NA,IN,IN,NA,NA,NA
minnesota,goodhue,46183,NA,NA,NA,NA,0.06,NA,NA,NA,NA,NA,NA
minnesota,hennepin,1152425,2,0.02,NA,NA,NA,52,9.1,28,0.538,10.2,29
minnesota,itasca,45058,NA,NA,NA,NA,NA,NA,IN,IN,NA,NA,NA
minnesota,kandiyohi,42239,NA,NA,NA,NA,NA,NA,IN,IN,NA,NA,NA
minnesota,lake,10866,NA,IN,NA,NA,0.061,NA,IN,IN,NA,NA,NA
minnesota,lyon,25857,NA,NA,NA,NA,0.065,NA,NA,NA,NA,NA,NA
minnesota,mcleod,36651,NA,NA,NA,NA,NA,NA,IN,IN,NA,NA,NA
minnesota,mille lacs,26097,NA,NA,NA,NA,0.059,NA,IN,IN,NA,NA,NA
minnesota,nicollet,32727,NA,NA,NA,NA,NA,NA,IN,IN,NA,NA,NA
minnesota,olmsted,144248,NA,NA,NA,NA,0.061,NA,9.3,29,NA,NA,NA
minnesota,otter tail,57303,NA,NA,NA,NA,NA,NA,IN,IN,NA,NA,NA
minnesota,ramsey,508640,2,0,NA,NA,NA,74,10,36,NA,NA,NA
minnesota,st. louis,200226,2,0,NA,NA,0.067,47,6.4,17,0.151,2.1,9
minnesota,scott,129928,NA,NA,NA,NA,0.06,NA,9,29,NA,NA,NA
minnesota,stearns,150642,NA,0.01,NA,NA,0.058,NA,8.2,28,NA,NA,NA
minnesota,washington,238136,NA,0,NA,NA,0.062,NA,IN,IN,0.286,3.5,17
minnesota,wright,124700,NA,NA,NA,NA,0.063,NA,IN,IN,NA,NA,NA
mississippi,adams,32297,NA,NA,NA,NA,0.067,NA,10.4,20,NA,NA,NA
mississippi,bolivar,34145,NA,NA,NA,NA,0.073,NA,10.6,22,NA,NA,NA
mississippi,desoto,161252,NA,NA,NA,NA,0.076,NA,10.2,19,NA,NA,NA
mississippi,forrest,74934,NA,NA,NA,NA,NA,NA,12,23,NA,NA,NA
mississippi,grenada,21906,NA,NA,NA,NA,NA,NA,9.8,19,NA,NA,NA
mississippi,hancock,43929,NA,NA,NA,NA,0.068,NA,10.2,20,NA,NA,NA
mississippi,harrison,187105,NA,NA,NA,NA,0.073,NA,9.6,16,NA,NA,NA
mississippi,hinds,245285,IN,NA,NA,NA,0.067,IN,11.4,22,IN,IN,IN
mississippi,jackson,139668,NA,NA,5.511,35,0.073,NA,9.5,19,1.14,6.8,38
mississippi,jones,67761,NA,NA,NA,NA,NA,NA,12.3,25,NA,NA,NA
mississippi,lauderdale,80261,NA,NA,NA,NA,0.062,NA,11.2,22,NA,NA,NA
mississippi,lee,82910,NA,NA,NA,NA,0.068,NA,12,22,NA,NA,NA
mississippi,lowndes,59779,NA,NA,NA,NA,NA,NA,IN,IN,NA,NA,NA
mississippi,pearl river,55834,NA,NA,NA,NA,NA,NA,IN,IN,NA,NA,NA
mississippi,rankin,141617,NA,NA,NA,NA,NA,NA,IN,IN,NA,NA,NA
mississippi,scott,28264,NA,NA,NA,NA,NA,NA,IN,IN,NA,NA,NA
mississippi,warren,48773,NA,NA,NA,NA,NA,NA,IN,IN,NA,NA,NA
missouri,andrew,17291,NA,NA,NA,NA,0.072,NA,NA,NA,NA,NA,NA
missouri,boone,162642,NA,NA,NA,NA,0.069,NA,IN,IN,NA,NA,NA
missouri,buchanan,89201,NA,NA,NA,NA,NA,92,11.9,26,NA,NA,NA
missouri,callaway,44332,NA,NA,NA,NA,0.068,NA,NA,NA,NA,NA,NA
missouri,cass,99478,NA,NA,NA,NA,0.067,NA,10.3,23,NA,NA,NA
missouri,cedar,13982,NA,NA,NA,NA,0.068,NA,10.9,24,NA,NA,NA
missouri,clay,221939,NA,NA,IN,IN,0.076,NA,9.6,23,NA,NA,NA
missouri,clinton,20743,NA,NA,NA,NA,0.076,NA,NA,NA,NA,NA,NA
missouri,greene,275174,1,NA,IN,IN,0.069,32,9.9,22,3.218,39.2,98
missouri,howell,40400,NA,NA,NA,NA,NA,NA,IN,IN,NA,NA,NA
missouri,iron,10630,NA,0.72,NA,NA,NA,NA,NA,NA,NA,NA,NA
missouri,jackson,674158,NA,NA,14.93,52,NA,52,11,31,5.499,46.5,IN
missouri,jasper,117404,NA,0.02,NA,NA,0.072,107,IN,IN,NA,NA,NA
missouri,jefferson,218733,NA,1.37,NA,NA,0.077,NA,10.5,24,10.351,58.1,199
missouri,lincoln,52566,NA,NA,NA,NA,0.079,NA,NA,NA,NA,NA,NA
missouri,maries,9176,NA,NA,NA,NA,NA,NA,NA,IN,NA,NA,NA
missouri,mercer,3785,NA,NA,NA,NA,NA,NA,IN,IN,NA,NA,NA
missouri,monroe,8840,NA,NA,NA,NA,0.07,IN,IN,IN,IN,IN,IN
missouri,perry,18971,NA,NA,NA,NA,0.077,NA,NA,NA,NA,NA,NA
missouri,reynolds,6696,NA,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
missouri,st. charles,360485,NA,NA,IN,IN,0.084,NA,IN,IN,NA,NA,NA
missouri,ste. genevieve,18145,NA,NA,IN,IN,0.072,NA,IN,IN,NA,NA,NA
missouri,st. francois,65359,NA,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA
missouri,st. louis,998954,1,0.01,IN,IN,0.076,48,11.2,27,IN,IN,IN
missouri,taney,51675,NA,NA,NA,NA,0.067,NA,NA,NA,NA,NA,NA
missouri,st. louis city,319294,2,NA,12.831,IN,0.071,131,13.8,27,3.263,12.3,49
montana,cascade,81327,2,NA,NA,NA,NA,NA,IN,IN,NA,NA,NA
montana,flathead,90928,IN,NA,NA,NA,0.055,94,9,29,NA,NA,NA
montana,gallatin,89513,2,NA,1.879,IN,NA,NA,9.2,35,NA,NA,NA
montana,glacier,13399,NA,NA,NA,NA,0.058,NA,NA,NA,NA,NA,NA
montana,lake,28746,NA,NA,NA,NA,NA,76,IN,IN,NA,NA,NA
